Model,Status,MAE,RMSE,Zero MAE,Positive MAE,Mean Actual,Mean Predicted,Actual/Predicted,Poisson Deviance
LightGBM Poisson,completed,0.11754147104109877,0.27517336411161897,0.06757752196840655,0.9195805445379046,0.06802838237502744,0.0778354370350418,0.8740027032211667,0.28851504757429297
XGBoost Poisson,completed,0.11523553188886825,0.27448447013745575,0.06396915238468139,0.9381816817068473,0.06802838237502744,0.07326062051106327,0.9285804829451901,0.28643841378712553
XGBoost Tweedie,completed,0.10770118781796759,0.2744893256969492,0.05526964247807908,0.9493509938656947,0.06802838237502744,0.06440166787017229,1.0563139841683333,0.29867326547953893
HistGradientBoosting Poisson (ordinal categories),completed,0.12469309951237406,0.27607524388992405,0.07659363286350158,0.8968028382887425,0.06802838237502744,0.08753920505972203,0.7771190328792261,0.287911409924988
CatBoost Poisson,unavailable: catboost not installed,,,,,,,,
